trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
288,False,"{'a': 0.5, 'e': 0.42479983835458834}",25,3,-52.98944771203203,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
289,False,"{'a': 0.5, 'e': 0.4212256874991615}",20,0,-74.99850836706989,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
290,False,"{'a': 0.5, 'e': 0.41764498295256947}",25,5,-13.94328111563743,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
291,False,"{'a': 0.5, 'e': 0.4140577804256397}",25,15,-62.768188318412186,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
292,False,"{'a': 0.5, 'e': 0.4104641357302998}",25,10,12.6555525531585,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.4068641047787087}",30,7,11.564781878008791,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.40325774358238603}",25,4,-55.00357454314194,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.399645108251342}",20,16,8.155807536040903,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.39602625499320354}",25,14,5.064625939138415,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.39240124011233946}",25,0,-6.0956284705263295,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
298,False,"{'a': 0.5, 'e': 0.3887701200089858}",25,0,-0.3259135027145412,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
299,False,"{'a': 0.5, 'e': 0.38513295117836654}",30,12,33.232657649706404,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.38148979020981616}",25,0,-14.097797004126631,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
301,False,"{'a': 0.5, 'e': 0.37784069378589846}",30,8,-1.3142080296662835,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.3741857186815243}",25,11,10.339341041071476,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.37052492176306917}",25,8,26.190471509001338,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.3668583599874881}",25,15,12.412178180131342,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.3631860904014286}",20,0,-59.72199887021355,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
306,False,"{'a': 0.5, 'e': 0.35950817014034475}",20,11,14.123553374829925,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.35582465642760647}",25,17,10.811479721736639,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.35213560657361076}",25,6,20.989381987376134,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.3484410779748893}",35,4,-39.983907700550944,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 1}",1
310,False,"{'a': 0.5, 'e': 0.34474112811321495}",25,0,-77.18752138502407,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
311,False,"{'a': 0.5, 'e': 0.34103581455470844}",30,15,-41.85910630295518,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
312,False,"{'a': 0.5, 'e': 0.33732519494894225}",20,0,23.49926366061245,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
313,False,"{'a': 0.5, 'e': 0.33360932702804313}",30,19,7.987894856032487,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.3298882686057952}",20,6,-59.7620576526724,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
315,False,"{'a': 0.5, 'e': 0.3261620775767386}",20,4,0.6229061556506812,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.3224308119152706}",30,21,5.551652704212804,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.3186945296747427}",25,11,25.097810986952283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.3149532889865568}",25,15,7.394176018856241,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.31120714805926203}",30,12,23.64225359087878,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.3074561651776485}",20,0,14.090288169752938,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
321,False,"{'a': 0.5, 'e': 0.3037003987018399}",20,0,-39.17319746681424,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
322,False,"{'a': 0.5, 'e': 0.29993990706638674}",25,0,4.142526953649275,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
323,False,"{'a': 0.5, 'e': 0.2961747487793558}",20,11,14.813284780998611,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.29240498242142104}",20,0,2.2023602162144194,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
325,False,"{'a': 0.5, 'e': 0.2886306666449518}",20,6,-38.89891777088165,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
326,False,"{'a': 0.5, 'e': 0.2848518601730994}",25,0,-35.99690576441843,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
327,False,"{'a': 0.5, 'e': 0.2810686217988849}",20,2,-3.3962294349882494,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.27728101038428304}",20,14,11.637779647930273,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.27348908485930756}",20,14,11.837420573774107,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.2696929042210938}",20,8,-24.366201147457854,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
331,False,"{'a': 0.5, 'e': 0.26589252753298015}",20,14,10.263387741836288,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.2620880139235905}",30,14,-9.920196488181622,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.25827942258591335}",20,0,-67.45059787155743,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
334,False,"{'a': 0.5, 'e': 0.25446681277638056}",25,7,-43.99153737243625,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
335,False,"{'a': 0.5, 'e': 0.2506502438139467}",25,17,14.444066304919623,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.24682977507916432}",20,13,12.866299873737406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.24300546601326184}",30,10,13.084862505876346,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.2391773761172179}",20,9,4.873646007656936,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.23534556495083497}",20,0,12.98895442034167,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
340,False,"{'a': 0.5, 'e': 0.231510092131814}",25,15,-44.48390235963299,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
341,False,"{'a': 0.5, 'e': 0.22767101733482628}",25,4,10.9088421617031,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.2238284002905842}",20,14,8.597073038130446,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.21998230078491351}",20,5,6.871168101667558,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.21613277865782138}",30,16,5.919733459136271,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.21227989380256698}",20,10,19.71414282281856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
